STUSPS,NAME,NAME.1,pop1920,pop1930,pop1940
TX,Texas,Randall,"3,675","7,071","7,185"
TX,Texas,Reagan,377,"3,028","1,997"
TX,Texas,Real,"1,461","2,197","2,420"
TX,Texas,Red River,"35,829","30,923","29,769"
TX,Texas,Reeves,"4,457","6,407","8,006"
TX,Texas,Refugio,"4,050","7,691","10,383"
TX,Texas,Roberts,"1,469","1,457","1,289"
TX,Texas,Robertson,"27,933","27,240","25,710"
TX,Texas,Rockwall,"8,591","7,658","7,051"
TX,Texas,Runnels,"17,074","21,821","18,903"
TX,Texas,Rusk,"31,689","32,484","51,023"
TX,Texas,Sabine,"12,299","11,998","10,896"
TX,Texas,San Augustine,"13,737","12,471","12,471"
TX,Texas,San Jacinto,"9,867","9,711","9,056"
TX,Texas,San Patricio,"11,386","23,836","28,871"
TX,Texas,San Saba,"10,045","10,273","11,012"
TX,Texas,Schleicher,"1,851","3,166","3,083"
TX,Texas,Scurry,"9,003","12,188","11,545"
TX,Texas,Shackelford,"4,960","6,695","6,211"
TX,Texas,Shelby,"27,464","28,627","29,235"
TX,Texas,Sherman,"1,473","2,314","2,026"
TX,Texas,Smith,"46,769","53,123","69,090"
TX,Texas,Somervell,"3,563","3,016","3,071"
TX,Texas,Starr,"11,089","11,409","13,312"
TX,Texas,Stephens,"15,403","16,560","12,356"
TX,Texas,Sterling,"1,053","1,431","1,404"
TX,Texas,Stonewall,"4,086","5,667",5589
TX,Texas,Sutton,"1,598","2,807","3,977"
TX,Texas,Swisher,"4,388","7,343","3,977"
TX,Texas,Tarrant,"152,800","197,553","225,521"
TX,Texas,Taylor,"24,081","41,023","44,147"
TX,Texas,Terrell,"1,595","2,660","2,952"
TX,Texas,Terry,"2,236","8,883","11,160"
TX,Texas,Throckmorton,"3,589","5,253","4,275"
TX,Texas,Titus,"18,128","16,003","19,228"
TX,Texas,Tom Green,"15,210","36,033","39,302"
TX,Texas,Travis,"57,616","77,777","111,053"
TX,Texas,Trinity,"13,623","13,637","13,705"
TX,Texas,Tyler,"10,415","11,448","11,948"
TX,Texas,Upshur,"22,472","22,297","26,178"
TX,Texas,Upton,253,"5,968","4,297"
TX,Texas,Uvalde,"10,769","12,945","13,246"
TX,Texas,Val Verde,"12,706","14,924","15,453"
