NAME.1,NAME,pop1920,pop1930,pop1940
Grady,Oklahoma,33943,47638,41116
Grant,Oklahoma,16072,14150,13128
Greer,Oklahoma,15836,20282,14550
Harmon,Oklahoma,11261,13834,10019
Harper,Oklahoma,7623,7761,6454
Haskell,Oklahoma,19397,16216,17324
Hughes,Oklahoma,26045,30334,29189
Jackson,Oklahoma,22141,28910,22708
Jefferson,Oklahoma,17664,17392,15107
Johnston,Oklahoma,20125,13082,15960
Kay,Oklahoma,34907,50186,47084
Kingfisher,Oklahoma,15671,15960,15617
Kiowa,Oklahoma,23094,29630,22817
Latimer,Oklahoma,13866,11184,12380
Le Flore,Oklahoma,42756,42896,45866
Lincoln,Oklahoma,33406,33738,29529
Logan,Oklahoma,27550,27761,25245
Love,Oklahoma,12433,9638,11433
Major,Oklahoma,12426,12206,11946
Marshall,Oklahoma,14674,11026,12384
Mayes,Oklahoma,16829,17883,21668
McClain,Oklahoma,19326,21575,19205
McCurtain,Oklahoma,37905,34759,41381
McIntosh,Oklahoma,26404,24924,24097
Murray,Oklahoma,13115,12410,13841
Muskogee,Oklahoma,61710,66424,65914
Noble,Oklahoma,13560,15139,14826
Nowata,Oklahoma,15899,13611,15744
Okfuskee,Oklahoma,25051,29016,26279
Oklahoma,Oklahoma,116307,221738,244159
Okmulgee,Oklahoma,55072,54558,50101
Osage,Oklahoma,36536,47334,41502
Ottawa,Oklahoma,41108,38542,35849
Pawnee,Oklahoma,19126,19882,17395
Payne,Oklahoma,30180,36905,36057
Pittsburg,Oklahoma,52570,50778,48985
Pontotoc,Oklahoma,30949,32469,39792
Pottawatomie,Oklahoma,46028,66572,54377
Pushmataha,Oklahoma,17514,14744,19466
Roger Mills,Oklahoma,10638,14164,10736
Rogers,Oklahoma,17605,18956,21078
Seminole,Oklahoma,23808,79621,61201
Sequoyah,Oklahoma,26786,19505,23138
Stephens,Oklahoma,24692,33069,31090
Texas,Oklahoma,13975,14100,9896
Tillman,Oklahoma,22433,24390,20745
Tulsa,Oklahoma,109023,187574,193363
Wagoner,Oklahoma,21371,22482,21642
Washington,Oklahoma,27002,27777,30599
Washita,Oklahoma,22237,29435,22279
Woods,Oklahoma,15939,17005,1495
Woodward,Oklahoma,14663,15844,16270
Anderson,Texas,34318,34643,37092
Andrews,Texas,350,736,1277
Angelina,Texas,22287,27803,32201
Aransas,Texas,2064,2219,3469
Archer,Texas,5254,9684,7599
Armstrong,Texas,2816,3329,2495
Atascosa,Texas,12702,15654,19275
Austin,Texas,18874,18860,17384
Bailey,Texas,517,5186,6318
Bandera,Texas,4001,3784,4234
Bastrop,Texas,26649,23888,21610
Baylor,Texas,7027,7418,7755
Bee,Texas,12137,15721,16481
Bell,Texas,46412,50030,44863
Bexar,Texas,202096,292533,338176
Blanco,Texas,4063,3842,4264
Borden,Texas,965,1505,1396
Bosque,Texas,18032,15750,15761
Bowie,Texas,39472,48563,50208
Brazoria,Texas,20614,23054,27069
Brazos,Texas,21975,21835,26977
Brewster,Texas,4822,6624,6478
Briscoe,Texas,2948,5590,4056
Brooks,Texas,4560,5901,6362
Brown,Texas,21682,26382,25924
Burleson,Texas,16855,19848,18334
Burnet,Texas,9499,10355,10771
Caldwell,Texas,25160,31397,24893
Calhoun,Texas,4700,5385,5911
Callahan,Texas,11844,12785,11568
Cameron,Texas,36662,77540,83202
Camp,Texas,11103,10063,10285
Carson,Texas,3078,7745,6624
Cass,Texas,30041,30030,33496
Castro,Texas,1948,4720,4631
Chambers,Texas,4162,5710,7511
Cherokee,Texas,37633,43180,43970
Childress,Texas,10933,16044,12149
Clay,Texas,16864,14545,12524
Cochran,Texas,67,1963,3735
Coke,Texas,4557,5253,4590
Coleman,Texas,18805,23669,20571
Collin,Texas,49609,46180,47190
Collingsworth,Texas,9154,14461,10331
Colorado,Texas,19013,19129,17812
Comal,Texas,8824,11984,12321
Comanche,Texas,25748,18430,19245
Concho,Texas,5847,7645,6192
Cooke,Texas,25667,24136,24909
Coryell,Texas,20601,19999,20226
Cottle,Texas,6901,9395,7079
Crane,Texas,37,2221,2841
Crockett,Texas,1500,2590,2809
Crosby,Texas,6084,11023,10046
Culberson,Texas,912,1228,1653
Dallam,Texas,4528,7830,6494
Dallas,Texas,210551,325691,398564
Dawson,Texas,4309,13573,15367
Deaf Smith,Texas,3747,5979,6056
Delta,Texas,15887,13138,12858
Denton,Texas,35355,32822,33658
DeWitt,Texas,27971,27441,24935
Dickens,Texas,5876,8601,7847
Dimmit,Texas,5296,8828,8542
Donley,Texas,8035,10262,7487
Duval,Texas,8251,12191,20565
Eastland,Texas,8251,34156,30345
Ector,Texas,8251,3958,15051
Edwards,Texas,2283,2764,2933
El Paso,Texas,55700,53936,47733
Ellis,Texas,101877,131597,131067
Erath,Texas,28385,20804,20760
Falls,Texas,36217,38771,35984
Fannin,Texas,48186,41163,41064
Fayette,Texas,29965,30708,29246
Fisher,Texas,11009,13563,12932
Floyd,Texas,9758,12409,10659
Foard,Texas,4747,6315,5237
Fort Bend,Texas,22931,29718,32963
Franklin,Texas,9304,8494,8378
Freestone,Texas,23264,22589,21138
Frio,Texas,9286,9411,9207
Gaines,Texas,1018,2800,8136
Galveston,Texas,53150,64401,81173
Garza,Texas,4253,5586,5678
Gillespie,Texas,10015,11020,10670
Glasscock,Texas,555,1263,1193
Goliad,Texas,9348,10093,8798
Gonzales,Texas,28438,28337,26075
Gray,Texas,4663,22090,23911
Grayson,Texas,74165,65843,69499
Gregg,Texas,16767,15778,58027
Grimes,Texas,23101,22642,21960
Guadalupe,Texas,27719,28925,25596
Hale,Texas,10104,20189,18813
Hall,Texas,11137,16966,12117
Hamilton,Texas,14676,13523,13303
Hansford,Texas,1354,3548,2783
Hardeman,Texas,12487,14532,11073
Hardin,Texas,15983,13936,15875
Harris,Texas,186667,359328,528961
Harrison,Texas,43565,48937,50900
Hartley,Texas,1109,2185,1873
Haskell,Texas,14193,16669,14905
Hays,Texas,15920,14915,15349
Hemphill,Texas,4280,4637,4170
Henderson,Texas,28327,30583,31822
Hidalgo,Texas,38110,77004,106059
Hill,Texas,43332,43036,38355
Hockley,Texas,137,9298,12693
Hood,Texas,8759,6779,6674
Hopkins,Texas,34791,29410,30264
Houston,Texas,28601,30017,31137
Howard,Texas,6962,22888,20990
Hudspeth,Texas,962,3728,3149
Hunt,Texas,50350,49016,48793
Hutchinson,Texas,721,14848,19069
Irion,Texas,1610,2049,1963
Jack,Texas,9863,9046,10206
Jackson,Texas,11244,10980,11720
Jasper,Texas,15569,17064,17491
Jeff Davis,Texas,15569,1800,2375
Jefferson,Texas,73120,133391,145329
Jim Hogg,Texas,1914,4919,5449
Jim Wells,Texas,6587,13456,20239
Johnson,Texas,37286,33317,30384
Jones,Texas,22323,24233,23378
Karnes,Texas,19049,23316,19248
Kaufman,Texas,41276,40905,38308
Kendall,Texas,4779,4970,5080
Kenedy,Texas,1033,701,700
Kent,Texas,3335,3851,3413
Kerr,Texas,5842,10151,11650
Kimble,Texas,3581,4119,5064
King,Texas,655,1193,1066
Kinney,Texas,3746,3980,4533
Kleberg,Texas,3746,12451,13344
Knox,Texas,9240,11368,10090
La Salle,Texas,55742,48529,50425
Lamar,Texas,1175,17452,17606
Lamb,Texas,8800,8677,9167
Lampasas,Texas,4821,8228,8003
Lavaca,Texas,28964,27550,25485
Lee,Texas,14014,13390,12751
Leon,Texas,18286,19898,17733
Liberty,Texas,14637,19868,24541
Limestone,Texas,33283,39497,33781
Lipscomb,Texas,3684,4512,3764
Live Oak,Texas,4171,8956,9799
Llano,Texas,5360,5538,5996
Loving,Texas,82,195,285
Lubbock,Texas,11096,39104,51782
Lynn,Texas,4751,12372,11931
Madison,Texas,11956,12227,12029
Marion,Texas,10886,10371,11457
Martin,Texas,1146,5785,5556
Mason,Texas,4824,5511,5378
Matagorda,Texas,16589,17678,20066
Maverick,Texas,7418,6120,10071
McCulloch,Texas,11020,13883,13208
McLennan,Texas,82921,98682,101898
McMullen,Texas,952,1351,1374
Medina,Texas,11679,13989,16106
Menard,Texas,3162,4447,4521
Midland,Texas,2449,8005,11721
Milam,Texas,38104,37915,33120
Mills,Texas,9019,8293,7951
Mitchell,Texas,7527,14183,12477
Montague,Texas,22200,19159,20442
Montgomery,Texas,17334,14588,23055
Moore,Texas,571,1555,4461
Morris,Texas,10289,10028,9810
Motley,Texas,4107,6812,4994
Nacogdoches,Texas,28457,30290,35392
Navarro,Texas,50624,60507,51308
Newton,Texas,12196,12524,13700
Nolan,Texas,10868,19323,17309
Nueces,Texas,22807,51779,92661
Ochiltree,Texas,2331,5224,4213
Oldham,Texas,709,1404,1385
Orange,Texas,15379,15149,17382
Palo Pinto,Texas,15379,17576,18456
Panola,Texas,21755,24063,22513
Parker,Texas,23382,18759,20482
Parmer,Texas,1699,5869,5890
Pecos,Texas,3857,7812,8185
Polk,Texas,16784,17555,20635
Potter,Texas,16710,46080,54265
Presidio,Texas,12202,10154,10925
Rains,Texas,8099,7114,7334
Randall,Texas,3675,7071,7185
Reagan,Texas,377,3028,1997
Real,Texas,1461,2197,2420
Red River,Texas,35829,30923,29769
Reeves,Texas,4457,6407,8006
Refugio,Texas,4050,7691,10383
Roberts,Texas,1469,1457,1289
Robertson,Texas,27933,27240,25710
Rockwall,Texas,8591,7658,7051
Runnels,Texas,17074,21821,18903
Rusk,Texas,31689,32484,51023
Sabine,Texas,12299,11998,10896
San Augustine,Texas,13737,12471,12471
San Jacinto,Texas,9867,9711,9056
San Patricio,Texas,11386,23836,28871
San Saba,Texas,10045,10273,11012
Schleicher,Texas,1851,3166,3083
Scurry,Texas,9003,12188,11545
Shackelford,Texas,4960,6695,6211
Shelby,Texas,27464,28627,29235
Sherman,Texas,1473,2314,2026
Smith,Texas,46769,53123,69090
Somervell,Texas,3563,3016,3071
Starr,Texas,11089,11409,13312
Stephens,Texas,15403,16560,12356
Sterling,Texas,1053,1431,1404
Stonewall,Texas,4086,5667,5589
Sutton,Texas,1598,2807,3977
Swisher,Texas,4388,7343,3977
Tarrant,Texas,152800,197553,225521
Taylor,Texas,24081,41023,44147
Terrell,Texas,1595,2660,2952
Terry,Texas,2236,8883,11160
Throckmorton,Texas,3589,5253,4275
Titus,Texas,18128,16003,19228
Tom Green,Texas,15210,36033,39302
Travis,Texas,57616,77777,111053
Trinity,Texas,13623,13637,13705
Tyler,Texas,10415,11448,11948
Upshur,Texas,22472,22297,26178
Upton,Texas,253,5968,4297
Uvalde,Texas,10769,12945,13246
Val Verde,Texas,12706,14924,15453
Van Zandt,Texas,30784,32315,31155
Victoria,Texas,18271,20048,23741
Walker,Texas,18556,18528,19868
Waller,Texas,10292,10014,10280
Ward,Texas,2615,4599,9575
Washington,Texas,26624,25394,25387
Webb,Texas,29152,42128,45916
Wharton,Texas,24288,29681,36158
Wheeler,Texas,7397,15555,12411
Wichita,Texas,72911,74416,73604
Wilbarger,Texas,15112,24579,20474
Willacy,Texas,NA,10499,13230
Williamson,Texas,42934,44146,41698
Wilson,Texas,17289,17606,17066
Winkler,Texas,81,6784,6141
Wise,Texas,23363,19178,19074
Wood,Texas,27707,24183,24360
Yoakum,Texas,504,1263,5354
Young,Texas,13379,20128,19004
Zapata,Texas,2929,2867,3916
Zavala,Texas,3108,10349,11603
